0,7188,1,10,1407470400
1,430,1,10,1376539200
2,3134,1,10,1369713600
3,3026,1,10,1350014400
4,3010,1,10,1347854400
5,804,1,10,1337572800
6,160,1,10,1394683200
7,95,1,9,1384578000
8,377,1,7,1414728000
9,888,1,7,1365652800
10,89,1,7,1351742400
11,1901,1,6,1411790400
12,161,1,6,1413345600
13,256,1,6,1342584000
14,351,1,5,1416373200
15,3329,1,5,1389934800
16,3341,1,5,1388984400
17,649,1,5,1384491600
18,1583,1,5,1380945600
19,87,1,5,1381809600
20,37,1,5,1374033600
21,309,1,5,1378353600
22,821,1,5,1368676800
23,1496,1,5,1394168400
24,637,1,5,1364961600
25,964,1,5,1350100800
26,594,1,5,1370836800
27,2249,1,5,1360386000
28,554,1,5,1346126400
29,20,1,5,1343275200
30,2227,1,5,1353301200
31,1315,1,5,1334635200
32,519,1,5,1344571200
33,1316,1,5,1332216000
34,2149,1,5,1326949200
35,1724,1,5,1322802000
36,18,1,5,1315022400
37,57,1,5,1314158400
38,118,1,4,1414123200
39,3254,1,4,1373342400
40,1177,1,4,1371009600
41,112,1,4,1355634000
42,11,1,4,1374984000
43,586,1,4,1314763200
44,35,1,4,1330578000
45,15,1,4,1319860800
46,1445,1,4,1309752000
47,152,1,4,1354078800
48,2,1,4,1411963200
49,113,1,4,1311307200
50,44,1,3,1415854800
51,2401,1,3,1390626000
52,10,1,3,1375243200
53,2378,1,3,1378612800
54,126,1,3,1374206400
55,3245,1,3,1369972800
56,783,1,3,1368676800
57,493,1,3,1362114000
58,1358,1,3,1372737600
59,1180,1,3,1378267200
60,529,1,3,1361595600
61,333,1,3,1357275600
62,1538,1,3,1358744400
63,2282,1,3,1353819600
64,1519,1,3,1363924800
65,2966,1,3,1342238400
66,474,1,3,1346817600
67,330,1,3,1381377600
68,958,1,3,1363579200
69,17,1,3,1330837200
70,1295,1,3,1329541200
71,38,1,3,1354165200
72,1952,1,3,1305518400
73,223,1,3,1304395200
74,625,1,2,1293426000
75,1392,1,2,1418101200
76,3355,1,2,1414990800
77,1881,1,2,1404964800
78,58,1,2,1412654400
79,96,1,2,1410148800
80,1580,1,2,1392526800
81,196,1,2,1391576400
82,146,1,2,1390885200
83,416,1,2,1391835600
84,1198,1,2,1390453200
85,3319,1,2,1387256400
86,1867,1,2,1396411200
87,896,1,2,1384059600
88,617,1,2,1383886800
89,3300,1,2,1380254400
90,1877,1,2,1378353600
91,462,1,2,1378353600
92,3279,1,2,1375675200
93,454,1,2,1387256400
94,1860,1,2,1371182400
95,121,1,2,1370318400
96,151,1,2,1376366400
97,1570,1,2,1373688000
98,1573,1,2,1408939200
99,1063,1,2,1365912000
100,1353,1,2,1402200000
101,459,1,2,1372910400
102,2334,1,2,1363924800
103,1267,1,2,1363320000
104,1060,1,2,1362114000
105,1061,1,2,1361595600
