bad_user_id, l2_topk_bad, l2_lastk_bad, cosine_topk_bad, cosine_lastk_bad, unlabelled_l2_topk, unlabelled_l2_lastk, l2_topk_good, l2_lastk_good, cosine_topk_good, cosine_lastk_good,unlabelled_cosine_topk, unlabelled_cosine_lastk
1,7,1,0,0,3,2,0,7,5,2,5,8
2,7,1,3,0,3,2,0,7,3,2,4,8
3,7,2,2,0,3,2,0,6,8,2,0,8
4,7,1,2,0,3,4,0,5,7,2,1,8
5,7,1,1,0,3,4,0,5,6,1,3,9
6,7,1,1,0,3,3,0,6,6,1,3,9
7,7,1,2,0,3,2,0,7,7,1,1,9
8,7,1,2,1,3,3,0,6,7,2,1,7
9,7,2,1,0,3,3,0,5,6,1,3,9
10,7,1,1,0,3,3,0,6,6,2,3,8
13,2,0,2,0,1,8,7,2,6,1,2,9
14,4,0,0,0,1,3,5,7,4,1,6,9
16,2,2,1,0,1,7,7,1,7,2,2,8
19,7,1,1,0,3,3,0,6,7,0,2,10
20,2,2,0,0,1,4,7,4,4,1,6,9
21,8,1,1,0,2,5,0,4,6,1,3,9
23,2,0,1,0,1,7,7,3,4,0,5,10
24,7,1,1,1,3,3,0,6,8,1,1,8
26,7,1,2,1,3,3,0,6,5,2,3,7
27,5,0,1,0,1,2,4,8,5,2,4,8
28,2,0,1,0,1,10,7,0,6,2,3,8
30,7,1,2,0,3,3,0,6,2,2,6,8
31,6,0,2,0,1,5,3,5,2,2,6,8
32,8,1,1,0,2,5,0,4,4,2,5,8
34,6,0,0,1,1,3,3,7,6,2,4,7
36,8,0,0,0,2,5,0,5,7,2,3,8
37,2,0,0,0,1,8,7,2,4,2,6,8
40,6,0,1,0,2,5,2,5,5,2,4,8
41,2,2,6,0,1,7,7,1,0,0,4,10
42,7,1,1,0,3,4,0,5,5,2,4,8
43,7,1,0,0,3,4,0,5,9,1,1,9
45,2,2,1,0,1,5,7,3,5,2,4,8
46,2,0,1,0,1,10,7,0,7,2,2,8
47,5,0,1,1,1,3,4,7,3,2,6,7
49,5,0,0,0,1,3,4,7,7,2,3,8
53,2,1,1,0,1,5,7,4,3,0,6,10
54,2,0,0,0,1,8,7,2,2,1,8,9
56,2,0,1,0,1,7,7,3,1,2,8,8
59,2,0,0,0,1,9,7,1,1,0,9,10
63,2,2,1,0,1,5,7,3,3,2,6,8
67,6,0,1,0,1,3,3,7,4,1,5,9
68,2,1,0,0,1,6,7,3,0,1,10,9
73,5,0,0,0,1,2,4,8,5,2,5,8
75,4,1,1,0,1,2,5,7,4,1,5,9
77,2,0,1,0,1,8,7,2,3,0,6,10
83,2,2,1,1,1,5,7,3,2,1,7,8
85,7,2,0,1,3,3,0,5,8,2,2,7
91,2,0,1,1,1,10,7,0,2,2,7,7
92,2,0,2,0,1,8,7,2,3,1,5,9
100,2,1,1,0,1,6,7,3,5,2,4,8
103,2,1,1,0,1,7,7,2,4,2,5,8
105,2,1,0,0,1,8,7,1,2,1,8,9
109,2,0,1,0,1,8,7,2,3,2,6,8
111,2,0,0,0,1,9,7,1,4,1,6,9
112,2,0,0,0,1,8,7,2,1,2,9,8
113,2,2,0,0,1,4,7,4,6,2,4,8
118,2,1,2,0,1,6,7,3,3,0,5,10
119,2,2,1,0,1,7,7,1,0,1,9,9
120,2,0,0,0,1,8,7,2,0,0,10,10
123,2,2,1,0,1,5,7,3,5,0,4,10
124,3,1,0,0,1,2,6,7,4,2,6,8
129,2,0,1,0,1,10,7,0,8,1,1,9
131,2,0,0,0,1,8,7,2,2,1,8,9
138,2,1,1,0,1,9,7,0,0,1,9,9
142,2,2,1,0,1,5,7,3,3,2,6,8
145,4,1,0,0,1,2,5,7,7,1,3,9
148,2,1,0,0,1,9,7,0,3,1,7,9
149,2,0,0,0,1,9,7,1,2,1,8,9
150,2,0,0,0,1,7,7,3,4,2,6,8
159,2,2,2,0,1,4,7,4,3,0,5,10
163,2,1,1,0,1,7,7,2,0,0,9,10
168,2,0,1,1,1,9,7,1,2,2,7,7
170,2,1,0,1,1,9,7,0,2,2,8,7
174,2,2,1,0,1,5,7,3,5,2,4,8
176,2,0,0,0,1,8,7,2,1,1,9,9
191,2,2,0,0,1,3,7,5,4,0,6,10
199,2,0,0,0,1,7,7,3,3,1,7,9
203,2,0,1,1,1,8,7,2,5,2,4,7
207,2,0,0,0,1,6,7,4,0,0,10,10
227,2,0,0,0,1,9,7,1,2,0,8,10
242,2,0,0,0,1,10,7,0,1,2,9,8
248,2,1,1,0,1,8,7,1,1,2,8,8
266,2,0,0,1,1,6,7,4,3,2,7,7
267,2,1,3,0,1,8,7,1,2,1,5,9
286,2,1,0,0,1,8,7,1,0,0,10,10
287,2,0,0,0,1,8,7,2,3,1,7,9
297,2,1,0,0,1,9,7,0,0,2,10,8
302,2,2,0,1,1,8,7,0,0,2,10,7
310,2,1,1,0,1,8,7,1,1,2,8,8
311,2,0,3,1,1,10,7,0,2,1,5,8
312,2,1,1,0,1,9,7,0,1,2,8,8
333,2,1,2,0,1,9,7,0,0,0,8,10
335,2,0,0,0,1,10,7,0,0,0,10,10
336,2,0,2,0,1,9,7,1,1,2,7,8
351,2,1,0,0,1,8,7,1,1,1,9,9
361,2,0,1,0,1,8,7,2,0,0,9,10
370,2,0,0,0,1,10,7,0,1,1,9,9
381,2,0,0,0,1,10,7,0,1,0,9,10
392,2,0,1,0,1,8,7,2,0,2,9,8
394,2,0,0,0,1,10,7,0,0,1,10,9
423,2,0,1,0,1,10,7,0,1,1,8,9
429,2,0,0,0,1,10,7,0,0,1,10,9
433,2,0,0,0,1,8,7,2,2,0,8,10
435,2,0,1,0,1,8,7,2,2,2,7,8
437,2,0,0,0,1,10,7,0,3,1,7,9
449,2,1,1,0,1,8,7,1,1,2,8,8
469,2,2,6,0,1,8,7,0,0,0,4,10
501,2,0,1,0,1,10,7,0,0,1,9,9
512,2,1,1,0,1,9,7,0,1,2,8,8
518,2,1,0,0,1,9,7,0,0,1,10,9
521,2,0,0,0,1,10,7,0,1,0,9,10
562,2,0,0,0,1,10,7,0,0,2,10,8
567,2,0,0,0,1,10,7,0,0,2,10,8
633,2,0,0,0,1,10,7,0,0,2,10,8
638,2,0,0,1,1,10,7,0,1,2,9,7
640,2,0,0,0,1,10,7,0,1,1,9,9
656,2,0,1,0,1,10,7,0,2,2,7,8
657,2,0,1,0,1,10,7,0,1,0,8,10
753,2,1,0,0,1,9,7,0,1,1,9,9
765,2,0,1,1,1,10,7,0,0,2,9,7
796,2,1,0,0,1,9,7,0,0,0,10,10
809,2,0,1,0,1,10,7,0,0,1,9,9
821,2,0,0,0,1,10,7,0,0,1,10,9
844,2,0,0,0,1,10,7,0,0,2,10,8
899,2,0,0,0,1,9,7,1,1,1,9,9
956,2,1,0,1,1,9,7,0,0,2,10,7
1019,2,0,6,0,1,10,7,0,0,0,4,10
1057,2,1,1,0,1,9,7,0,0,1,9,9
1069,2,0,0,0,1,10,7,0,0,0,10,10
1072,2,0,0,0,1,10,7,0,1,2,9,8
1151,2,0,0,0,1,10,7,0,0,1,10,9
1338,2,0,0,0,1,10,7,0,0,0,10,10
1371,2,0,0,0,1,10,7,0,0,2,10,8
1395,2,0,6,0,1,10,7,0,0,0,4,10
1551,2,0,0,0,1,9,7,1,1,1,9,9
